GeneId:START_ID(Gene),Relation:TYPE,ProteinId:END_ID(Protein),RelationName
55122,GeneToProtein,Q53H80,Code
11215,GeneToProtein,Q9UKA4,Code
10270,GeneToProtein,O43823,Code
254268,GeneToProtein,Q5T1N1,Code
57016,GeneToProtein,O60218,Code
9590,GeneToProtein,Q02952,Code
441282,GeneToProtein,C9JRZ8,Code
10566,GeneToProtein,O75969,Code
1645,GeneToProtein,Q04828,Code
6718,GeneToProtein,P51857,Code
10000,GeneToProtein,Q9Y243,Code
10142,GeneToProtein,Q99996,Code
11214,GeneToProtein,Q12802,Code
207,GeneToProtein,P31749,Code
26993,GeneToProtein,Q9ULX6,Code
160428,GeneToProtein,Q3SY69,Code
84335,GeneToProtein,Q96B36,Code
8854,GeneToProtein,O94788,Code
241,GeneToProtein,P20292,Code
120534,GeneToProtein,Q8N8R7,Code
221,GeneToProtein,P43353,Code
64400,GeneToProtein,Q9H8T0,Code
220,GeneToProtein,P47895,Code
222,GeneToProtein,P48448,Code
259173,GeneToProtein,Q60I27,Code
2875,GeneToProtein,P24298,Code
64577,GeneToProtein,Q9H2A2,Code
216,GeneToProtein,P00352,Code
218,GeneToProtein,P30838,Code
219,GeneToProtein,P30837,Code
501,GeneToProtein,P49419,Code
84706,GeneToProtein,Q8TD30,Code
223,GeneToProtein,P49189,Code
10840,GeneToProtein,O75891,Code
8659,GeneToProtein,P30038,Code
224,GeneToProtein,P51648,Code
208,GeneToProtein,P31751,Code
2778,GeneToProtein,P84996,Code
229,GeneToProtein,P05062,Code
217,GeneToProtein,P05091,Code
231,GeneToProtein,P15121,Code
213,GeneToProtein,P02768,Code
230,GeneToProtein,P09972,Code
226,GeneToProtein,P04075,Code
440138,GeneToProtein,Q2TAA5,Code
199857,GeneToProtein,Q96F25,Code
79868,GeneToProtein,Q9NP73,Code
10195,GeneToProtein,Q92685,Code
29880,GeneToProtein,Q9Y673,Code
85365,GeneToProtein,Q9H553,Code
79087,GeneToProtein,Q9BV10,Code
79796,GeneToProtein,Q9H6U8,Code
56052,GeneToProtein,Q9BT22,Code
29929,GeneToProtein,Q9Y672,Code
79053,GeneToProtein,Q9BVK2,Code
84266,GeneToProtein,Q9BT30,Code
221120,GeneToProtein,Q96Q83,Code
91801,GeneToProtein,Q96BT7,Code
392636,GeneToProtein,Q6ZNB7,Code
54784,GeneToProtein,Q9NXW9,Code
238,GeneToProtein,Q9UM73,Code
8846,GeneToProtein,Q13686,Code
389658,GeneToProtein,Q6UXT8,Code
285016,GeneToProtein,Q6UX46,Code
54890,GeneToProtein,Q6P6C2,Code
121642,GeneToProtein,Q6NS38,Code
84964,GeneToProtein,Q3KRA9,Code
55821,GeneToProtein,Q8N6M5,Code
7840,GeneToProtein,Q8TCU4,Code
80216,GeneToProtein,Q96QP1,Code
115701,GeneToProtein,Q86TB3,Code
57538,GeneToProtein,Q96L96,Code
2671,GeneToProtein,P55789,Code
8092,GeneToProtein,Q15699,Code
257,GeneToProtein,O95076,Code
23600,GeneToProtein,Q9UHK6,Code
60529,GeneToProtein,Q9H161,Code
259,GeneToProtein,P02760,Code
57679,GeneToProtein,Q96Q42,Code
139285,GeneToProtein,Q5JTC6,Code
269,GeneToProtein,Q16671,Code
267,GeneToProtein,Q9UKV5,Code
258,GeneToProtein,Q9NP70,Code
5066,GeneToProtein,P19021,Code
219287,GeneToProtein,Q8N7J2,Code
3483,GeneToProtein,P35858,Code
205147,GeneToProtein,Q8N944,Code
83607,GeneToProtein,Q6DCA0,Code
265,GeneToProtein,Q99217,Code
266,GeneToProtein,Q99218,Code
57463,GeneToProtein,Q86WK6,Code
9949,GeneToProtein,Q9Y4X0,Code
154796,GeneToProtein,Q4VCS5,Code
347902,GeneToProtein,Q86SJ2,Code
196394,GeneToProtein,Q8IY45,Code
386724,GeneToProtein,Q86WK7,Code
154810,GeneToProtein,Q8IY63,Code
81693,GeneToProtein,Q9BXJ7,Code
51421,GeneToProtein,Q9Y2J4,Code
2028,GeneToProtein,Q07075,Code
272,GeneToProtein,Q01432,Code
273,GeneToProtein,P49418,Code
51056,GeneToProtein,P28838,Code
6051,GeneToProtein,Q9H4A4,Code
270,GeneToProtein,P23109,Code
290,GeneToProtein,P15144,Code
271,GeneToProtein,Q01433,Code
84909,GeneToProtein,Q8N6M6,Code
206338,GeneToProtein,Q6Q4G3,Code
55626,GeneToProtein,Q9C0C7,Code
401138,GeneToProtein,Q6UX39,Code
4043,GeneToProtein,P30533,Code
280,GeneToProtein,P19961,Code
279,GeneToProtein,P04746,Code
276,GeneToProtein,P0DUB6,Code
277,GeneToProtein,P0DTE7,Code
278,GeneToProtein,P0DTE8,Code
81573,GeneToProtein,Q8N6S4,Code
8125,GeneToProtein,P39687,Code
338692,GeneToProtein,Q6ZTN6,Code
651746,GeneToProtein,A6NCL7,Code
155185,GeneToProtein,Q400G9,Code
253650,GeneToProtein,Q8IVF6,Code
284615,GeneToProtein,Q69YU3,Code
441459,GeneToProtein,A2A2Z9,Code
88455,GeneToProtein,Q8IZ07,Code
