GeneId:START_ID(Gene),Relation:TYPE,DiseaseId:END_ID(Disease),DSI,DPI,RelationName
43,GeneToDisease,C0700359,0.445,0.885,Relate to
43,GeneToDisease,C0750900,0.445,0.885,Relate to
43,GeneToDisease,C0750901,0.445,0.885,Relate to
43,GeneToDisease,C0751056,0.445,0.885,Relate to
43,GeneToDisease,C0751110,0.445,0.885,Relate to
43,GeneToDisease,C0751123,0.445,0.885,Relate to
43,GeneToDisease,C0751262,0.445,0.885,Relate to
43,GeneToDisease,C0751263,0.445,0.885,Relate to
43,GeneToDisease,C0751265,0.445,0.885,Relate to
43,GeneToDisease,C0751292,0.445,0.885,Relate to
43,GeneToDisease,C0751293,0.445,0.885,Relate to
43,GeneToDisease,C0751294,0.445,0.885,Relate to
43,GeneToDisease,C0751295,0.445,0.885,Relate to
43,GeneToDisease,C0751494,0.445,0.885,Relate to
43,GeneToDisease,C0751495,0.445,0.885,Relate to
43,GeneToDisease,C0751496,0.445,0.885,Relate to
43,GeneToDisease,C0751564,0.445,0.885,Relate to
43,GeneToDisease,C1257931,0.445,0.885,Relate to
43,GeneToDisease,C1266042,0.445,0.885,Relate to
43,GeneToDisease,C1266043,0.445,0.885,Relate to
43,GeneToDisease,C1266044,0.445,0.885,Relate to
43,GeneToDisease,C1306837,0.445,0.885,Relate to
43,GeneToDisease,C1458155,0.445,0.885,Relate to
43,GeneToDisease,C1527384,0.445,0.885,Relate to
43,GeneToDisease,C3494247,0.445,0.885,Relate to
43,GeneToDisease,C3494248,0.445,0.885,Relate to
43,GeneToDisease,C3495874,0.445,0.885,Relate to
43,GeneToDisease,C4048158,0.445,0.885,Relate to
43,GeneToDisease,C4316903,0.445,0.885,Relate to
43,GeneToDisease,C4317109,0.445,0.885,Relate to
43,GeneToDisease,C4317123,0.445,0.885,Relate to
43,GeneToDisease,C4505436,0.445,0.885,Relate to
43,GeneToDisease,C4704874,0.445,0.885,Relate to
47,GeneToDisease,C0018801,0.563,0.692,Relate to
47,GeneToDisease,C0018802,0.563,0.692,Relate to
47,GeneToDisease,C0023212,0.563,0.692,Relate to
47,GeneToDisease,C0028754,0.563,0.692,Relate to
47,GeneToDisease,C0235527,0.563,0.692,Relate to
47,GeneToDisease,C1959583,0.563,0.692,Relate to
47,GeneToDisease,C1961112,0.563,0.692,Relate to
47,GeneToDisease,C2239176,0.563,0.692,Relate to
48,GeneToDisease,C0027626,0.628,0.577,Relate to
48,GeneToDisease,C0029408,0.628,0.577,Relate to
48,GeneToDisease,C0086743,0.628,0.577,Relate to
50,GeneToDisease,C0006142,0.619,0.654,Relate to
50,GeneToDisease,C0035222,0.619,0.654,Relate to
50,GeneToDisease,C2239176,0.619,0.654,Relate to
50,GeneToDisease,C3281192,0.619,0.654,Relate to
50,GeneToDisease,C4225384,0.619,0.654,Relate to
51,GeneToDisease,C1849678,0.61,0.731,Relate to
51,GeneToDisease,C2239176,0.61,0.731,Relate to
52,GeneToDisease,C0036341,0.566,0.731,Relate to
52,GeneToDisease,C0041696,0.566,0.731,Relate to
52,GeneToDisease,C1269683,0.566,0.731,Relate to
53,GeneToDisease,C0268410,0.78,0.346,Relate to
54,GeneToDisease,C0020503,0.561,0.731,Relate to
54,GeneToDisease,C0028754,0.561,0.731,Relate to
54,GeneToDisease,C0432222,0.561,0.731,Relate to
54,GeneToDisease,C1842763,0.561,0.731,Relate to
54,GeneToDisease,C3860213,0.561,0.731,Relate to
55,GeneToDisease,C0087031,0.525,0.731,Relate to
55,GeneToDisease,C3495559,0.525,0.731,Relate to
55,GeneToDisease,C3714758,0.525,0.731,Relate to
55,GeneToDisease,C4552091,0.525,0.731,Relate to
55,GeneToDisease,C4704862,0.525,0.731,Relate to
58,GeneToDisease,C0007193,0.54,0.769,Relate to
58,GeneToDisease,C0007194,0.54,0.769,Relate to
58,GeneToDisease,C0149721,0.54,0.769,Relate to
58,GeneToDisease,C0175709,0.54,0.769,Relate to
58,GeneToDisease,C0206157,0.54,0.769,Relate to
58,GeneToDisease,C0270969,0.54,0.769,Relate to
58,GeneToDisease,C0410180,0.54,0.769,Relate to
58,GeneToDisease,C0410203,0.54,0.769,Relate to
58,GeneToDisease,C0410207,0.54,0.769,Relate to
