GeneId:START_ID(Gene),Relation:TYPE,GeneId:END_ID(Gene),RelationName
80198,GeneToGene,2647,Synthetic growth defect
80198,GeneToGene,6421,Synthetic growth defect
80198,GeneToGene,158358,Synthetic growth defect
80198,GeneToGene,220001,Synthetic growth defect
80198,GeneToGene,4155,Synthetic growth defect
80198,GeneToGene,80003,Synthetic growth defect
80198,GeneToGene,8175,Synthetic growth defect
5728,GeneToGene,51061,Synthetic growth defect
5728,GeneToGene,629,Synthetic growth defect
5728,GeneToGene,10730,Synthetic growth defect
5728,GeneToGene,6839,Synthetic growth defect
5728,GeneToGene,388585,Synthetic growth defect
5728,GeneToGene,2852,Synthetic growth defect
5728,GeneToGene,4084,Synthetic growth defect
5728,GeneToGene,64427,Synthetic growth defect
5728,GeneToGene,197342,Synthetic growth defect
5728,GeneToGene,4987,Synthetic growth defect
5728,GeneToGene,23762,Synthetic growth defect
5728,GeneToGene,23180,Synthetic growth defect
5728,GeneToGene,5090,Synthetic growth defect
5728,GeneToGene,26233,Synthetic growth defect
5728,GeneToGene,23556,Synthetic growth defect
5728,GeneToGene,27434,Synthetic growth defect
5728,GeneToGene,7846,Synthetic growth defect
5728,GeneToGene,9898,Synthetic growth defect
5728,GeneToGene,81603,Synthetic growth defect
5728,GeneToGene,148170,Synthetic growth defect
5728,GeneToGene,338596,Synthetic growth defect
5728,GeneToGene,2026,Synthetic growth defect
5728,GeneToGene,2647,Synthetic growth defect
5728,GeneToGene,55502,Synthetic growth defect
5728,GeneToGene,64135,Synthetic growth defect
5728,GeneToGene,1727,Synthetic growth defect
5728,GeneToGene,5690,Synthetic growth defect
5728,GeneToGene,206358,Synthetic growth defect
5728,GeneToGene,7056,Synthetic growth defect
5728,GeneToGene,79587,Synthetic growth defect
5728,GeneToGene,4851,Synthetic growth defect
5728,GeneToGene,8613,Synthetic growth defect
5728,GeneToGene,7321,Synthetic growth defect
5728,GeneToGene,63897,Synthetic growth defect
5728,GeneToGene,3993,Synthetic growth defect
